,Product_Name,Barcode,Nutri_Score,Description,Quantity,Packaging,Brands,Categories,Label,Origin,Production_places,Tracking_code,Stores,Sales_countries,Ingredients,Energie(KJ)_100,Energie(KJ)_100_compar,Energie(Kcal)_100,Energie(Kcal)_100_Compar,Fat_Value,Fat_Value_Compar,Saturated_Fatty_Acid_Value,Saturated_Fatty_Acid_Value_Compar,Sugar_Value,Sugar_Value_Compar,Sodium_Value,Sodium_Value_Compare,Nova_Score,Eco_Score,Additives,Palm_Oil_Ingredient
0,"Cristaline Eau de source - 1,5 l",3274080005003,A,Eau de source naturelle," 1,5 l","Bouteille, Plastique, Bouchon",Cristaline,"[<a class=""tag well_known"" href=""/categorie/boissons"">Boissons</a>, <a class=""tag well_known"" href=""/categorie/eaux"">Eaux</a>, <a class=""tag well_known"" href=""/categorie/eaux-de-sources"">Eaux de sources</a>, <a class=""tag well_known"" href=""/categorie/eaux-minerales"">Eaux minérales</a>, <a class=""tag well_known"" href=""/categorie/eaux-minerales-naturelles"">Eaux minérales naturelles</a>, <a href=""/categorie/eaux-minerales-naturelles""> (355 produits)</a>, <a href=""/categorie/eaux-minerales""> (859 produits)</a>, <a href=""/categorie/eaux-de-sources""> (1044 produits)</a>, <a href=""/categorie/eaux""> (1599 produits)</a>, <a href=""/categorie/boissons""> (44282 produits)</a>]","[<a class=""tag well_known"" href=""/label/point-vert"">Point Vert</a>, <a class=""tag well_known"" href=""/label/en:triman"" lang=""en"">en:Triman</a>, <a class=""tag user_defined"" href=""/label/sans-nitrate"">Sans nitrate</a>, <a href=""/editeur/labeleat.YjITkC3hHkjwVK3gNWVGlrNY5840"">labeleat.YjITkC3hHkjwVK3gNWVGlrNY5840</a>]","[<a class=""tag well_known"" href=""/origine/france"">France</a>]","[<a href=""/lieu-de-fabrication/france"">France</a>, <a href=""/lieu-de-fabrication/72370"">72370</a>, <a href=""/lieu-de-fabrication/ardenay-sur-merize"">Ardenay-sur-Merize</a>]","[<a href=""/code-emballeur/emb-44068a"">EMB 44068A</a>, <a href=""/code-emballeur/emb-59457"">EMB 59457</a>, <a href=""/code-emballeur/emb-72007b"">EMB 72007B</a>]","[<a href=""/magasin/carrefour"">Carrefour</a>, <a href=""/magasin/leclerc"">Leclerc</a>, <a href=""/magasin/auchan"">Auchan</a>]","[<a class=""tag well_known"" href=""/pays/cote-d-ivoire"">Côte d'Ivoire</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/guadeloupe"">Guadeloupe</a>, <a class=""tag well_known"" href=""/pays/italie"">Italie</a>, <a class=""tag well_known"" href=""/pays/luxembourg"">Luxembourg</a>, <a class=""tag well_known"" href=""/pays/mali"">Mali</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/en:allemagne"" lang=""en"">en:Allemagne</a>, <a class=""tag well_known"" href=""/pays/en:belgique"" lang=""en"">en:Belgique</a>, <a class=""tag well_known"" href=""/pays/en:nouvelle-caledonie"" lang=""en"">en:Nouvelle-Calédonie</a>, <a class=""tag well_known"" href=""/pays/en:royaume-uni"" lang=""en"">en:Royaume-Uni</a>, <a class=""tag well_known"" href=""/pays/en:suisse"" lang=""en"">en:Suisse</a>, <a class=""tag well_known"" href=""/pays/en:etats-unis"" lang=""en"">en:États-Unis</a>]",Eau minérale naturelle,0 kj,0 k,0 kcal,0 kca,0 g,0,0 g,0,0 g,0,"0,008 g","0,017",1 - Aliments non transformés ou transformés minimalement,XXX,[],[]
1,Nutella - Ferrero - 400 g,3017620422003,E,Pâte à tartiner aux noisettes et au cacao, 400 g,"Verre, Couvercle, Plastique, Pot, Opercule, Plaque en carton",Nutella,"[<a class=""tag well_known"" href=""/categorie/produits-a-tartiner"">Produits à tartiner</a>, <a class=""tag well_known"" href=""/categorie/petit-dejeuners"">Petit-déjeuners</a>, <a class=""tag well_known"" href=""/categorie/aides-culinaires"">Aides culinaires</a>, <a class=""tag well_known"" href=""/categorie/produits-a-tartiner-sucres"">Produits à tartiner sucrés</a>, <a class=""tag well_known"" href=""/categorie/aides-a-la-patisserie"">Aides à la pâtisserie</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner"">Pâtes à tartiner</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-aux-noisettes"">Pâtes à tartiner aux noisettes</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-au-chocolat"">Pâtes à tartiner au chocolat</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-aux-noisettes-et-au-cacao"">Pâtes à tartiner aux noisettes et au cacao</a>, <a class=""tag well_known"" href=""/categorie/aide-culinaire-sucree"">Aide culinaire sucrée</a>, <a href=""/categorie/aide-culinaire-sucree""> (90 produits)</a>, <a href=""/categorie/aides-a-la-patisserie""> (519 produits)</a>, <a href=""/categorie/pates-a-tartiner-aux-noisettes-et-au-cacao""> (778 produits)</a>, <a href=""/categorie/pates-a-tartiner-aux-noisettes""> (916 produits)</a>, <a href=""/categorie/pates-a-tartiner-au-chocolat""> (1022 produits)</a>, <a href=""/categorie/aides-culinaires""> (1256 produits)</a>, <a href=""/categorie/pates-a-tartiner""> (1781 produits)</a>, <a href=""/categorie/produits-a-tartiner-sucres""> (15325 produits)</a>, <a href=""/categorie/petit-dejeuners""> (20886 produits)</a>, <a href=""/categorie/produits-a-tartiner""> (25808 produits)</a>]","[<a class=""tag well_known"" href=""/label/sans-gluten"">Sans gluten</a>, <a class=""tag well_known"" href=""/label/point-vert"">Point Vert</a>]","[<a class=""tag well_known"" href=""/origine/australie"">Australie</a>, <a class=""tag well_known"" href=""/origine/bresil"">Brésil</a>, <a class=""tag well_known"" href=""/origine/chili"">Chili</a>, <a class=""tag well_known"" href=""/origine/cote-d-ivoire"">Côte d'Ivoire</a>, <a class=""tag well_known"" href=""/origine/ghana"">Ghana</a>, <a class=""tag well_known"" href=""/origine/inde"">Inde</a>, <a class=""tag well_known"" href=""/origine/indonesie"">Indonésie</a>, <a class=""tag well_known"" href=""/origine/italie"">Italie</a>, <a class=""tag well_known"" href=""/origine/malaisie"">Malaisie</a>, <a class=""tag well_known"" href=""/origine/mexique"">Mexique</a>, <a class=""tag well_known"" href=""/origine/nigeria"">Nigeria</a>, <a class=""tag well_known"" href=""/origine/papouasie-nouvelle-guinee"">Papouasie-Nouvelle-Guinée</a>, <a class=""tag well_known"" href=""/origine/turquie"">Turquie</a>]","[<a href=""/lieu-de-fabrication/france"">France</a>]","[<a href=""/code-emballeur/non-communique"">NON COMMUNIQUÉ</a>]","[<a href=""/magasin/bi1"">Bi1</a>, <a href=""/magasin/magasins-u"">Magasins U</a>, <a href=""/magasin/carrefour"">Carrefour</a>, <a href=""/magasin/franprix"">Franprix</a>, <a href=""/magasin/auchan"">Auchan</a>, <a href=""/editeur/magasins-u"">magasins-u</a>]","[<a class=""tag well_known"" href=""/pays/algerie"">Algérie</a>, <a class=""tag well_known"" href=""/pays/autriche"">Autriche</a>, <a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/canada"">Canada</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/allemagne"">Allemagne</a>, <a class=""tag well_known"" href=""/pays/italie"">Italie</a>, <a class=""tag well_known"" href=""/pays/luxembourg"">Luxembourg</a>, <a class=""tag well_known"" href=""/pays/mexique"">Mexique</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/pays-bas"">Pays-Bas</a>, <a class=""tag well_known"" href=""/pays/portugal"">Portugal</a>, <a class=""tag well_known"" href=""/pays/senegal"">Sénégal</a>, <a class=""tag well_known"" href=""/pays/espagne"">Espagne</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>, <a class=""tag well_known"" href=""/pays/tunisie"">Tunisie</a>, <a class=""tag well_known"" href=""/pays/royaume-uni"">Royaume-Uni</a>, <a class=""tag well_known"" href=""/pays/etats-unis"">États-Unis</a>]","Sucre, huile de palme, noisettes 13%, lait écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [soja] ; vanilline. Sans gluten",2 252 kj,1 700 k,539 kcal,393 kca,"30,9 g","15,4","10,6 g","4,25","56,3 g",39,"0,043 g","0,054",4 - Produits alimentaires et boissons ultra-transformés,Eco-score D,"[<a href=""/additif/e322-lecithines"">E322 - Lécithines</a>]","[<a href=""/ingredients-issus-de-l-huile-de-palme/huile-de-palme"">Huile de palme</a>]"
2,Prince Chocolat - Lu - 300 g,7622210449283,D,BISCUITS FOURRÉS (35%) PARFUM CHOCOLAT, 300 g,"Plastique, Film en plastique, Paquet, Mondelez, Etui en carton",Lu,"[<a class=""tag well_known"" href=""/categorie/snacks"">Snacks</a>, <a class=""tag well_known"" href=""/categorie/snacks-sucres"">Snacks sucrés</a>, <a class=""tag well_known"" href=""/categorie/biscuits-et-gateaux"">Biscuits et gâteaux</a>, <a class=""tag well_known"" href=""/categorie/biscuits"">Biscuits</a>, <a class=""tag well_known"" href=""/categorie/biscuits-au-chocolat"">Biscuits au chocolat</a>, <a href=""/categorie/biscuits-au-chocolat""> (3097 produits)</a>, <a href=""/categorie/biscuits""> (10877 produits)</a>, <a href=""/categorie/biscuits-et-gateaux""> (23992 produits)</a>, <a href=""/categorie/snacks-sucres""> (45766 produits)</a>, <a href=""/categorie/snacks""> (54179 produits)</a>]","[<a class=""tag well_known"" href=""/label/sans-conservateurs"">Sans conservateurs</a>]",[],[],[],"[<a href=""/magasin/carrefour-market"">Carrefour Market</a>, <a href=""/magasin/magasins-u"">Magasins U</a>, <a href=""/magasin/auchan"">Auchan</a>, <a href=""/magasin/intermarche"">Intermarché</a>, <a href=""/magasin/carrefour"">Carrefour</a>, <a href=""/magasin/casino"">Casino</a>, <a href=""/magasin/leclerc"">Leclerc</a>, <a href=""/magasin/cora"">Cora</a>, <a href=""/magasin/bi1"">Bi1</a>, <a href=""/editeur/magasins-u"">magasins-u</a>]","[<a class=""tag well_known"" href=""/pays/algerie"">Algérie</a>, <a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/polynesie-francaise"">Polynésie française</a>, <a class=""tag well_known"" href=""/pays/allemagne"">Allemagne</a>, <a class=""tag well_known"" href=""/pays/guadeloupe"">Guadeloupe</a>, <a class=""tag well_known"" href=""/pays/hongrie"">Hongrie</a>, <a class=""tag well_known"" href=""/pays/luxembourg"">Luxembourg</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/nouvelle-caledonie"">Nouvelle-Calédonie</a>, <a class=""tag well_known"" href=""/pays/portugal"">Portugal</a>, <a class=""tag well_known"" href=""/pays/la-reunion"">La Réunion</a>, <a class=""tag well_known"" href=""/pays/espagne"">Espagne</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>, <a class=""tag well_known"" href=""/pays/etats-unis"">États-Unis</a>]","céréales 50,7% (farine de blé 35%, farine de blé complète 15,7%), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de blé, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphpsphate disodique), émulsifiant (lécithine de soja, lécithine de tournesol), sel, lait écrémé en poudre, lactose et protéines de lait, arômes.",1 955 kj,2 070 k,465 kcal,492 kca,17 g,"23,4","5,6 g","11,8",32 g,"32,5","0,232 g","0,221",4 - Produits alimentaires et boissons ultra-transformés,Eco-score D,"[<a href=""/additif/e503ii-carbonate-acide-d-ammonium"">E503ii - Carbonate acide d'ammonium</a>, <a href=""/additif/e500ii-carbonate-acide-de-sodium"">E500ii - Carbonate acide de sodium</a>, <a href=""/additif/e322i-lecithine"">E322i - Lécithine</a>]","[<a href=""/ingredients-issus-de-l-huile-de-palme/huile-de-palme"">Huile de palme</a>]"
3,Coca-Cola - 330 ml,5449000000996,E,Soda aux extraits végétaux,330 ml,aluminium-can,Coca-cola,"[<a class=""tag well_known"" href=""/categorie/boissons"">Boissons</a>, <a class=""tag well_known"" href=""/categorie/boissons-gazeuses"">Boissons gazeuses</a>, <a class=""tag well_known"" href=""/categorie/sodas"">Sodas</a>, <a class=""tag well_known"" href=""/categorie/sodas-au-cola"">Sodas au cola</a>, <a class=""tag well_known"" href=""/categorie/boissons-avec-sucre-ajoute"">Boissons avec sucre ajouté</a>, <a href=""/categorie/sodas-au-cola""> (807 produits)</a>, <a href=""/categorie/sodas""> (2518 produits)</a>, <a href=""/categorie/boissons-gazeuses""> (3240 produits)</a>, <a href=""/categorie/boissons-avec-sucre-ajoute""> (5961 produits)</a>, <a href=""/categorie/boissons""> (44282 produits)</a>]","[<a class=""tag user_defined"" href=""/label/en:verified"" lang=""en"">en:Verified</a>]",[],[],[],"[<a href=""/magasin/tesco"">Tesco</a>, <a href=""/magasin/auchan"">Auchan</a>, <a href=""/magasin/carrefour"">Carrefour</a>]","[<a class=""tag well_known"" href=""/pays/algerie"">Algérie</a>, <a class=""tag well_known"" href=""/pays/andorre"">Andorre</a>, <a class=""tag well_known"" href=""/pays/autriche"">Autriche</a>, <a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/bresil"">Brésil</a>, <a class=""tag well_known"" href=""/pays/cameroun"">Cameroun</a>, <a class=""tag well_known"" href=""/pays/canada"">Canada</a>, <a class=""tag well_known"" href=""/pays/danemark"">Danemark</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/gabon"">Gabon</a>, <a class=""tag well_known"" href=""/pays/georgie"">Géorgie</a>, <a class=""tag well_known"" href=""/pays/allemagne"">Allemagne</a>, <a class=""tag well_known"" href=""/pays/guinee"">Guinée</a>, <a class=""tag well_known"" href=""/pays/inde"">Inde</a>, <a class=""tag well_known"" href=""/pays/irlande"">Irlande</a>, <a class=""tag well_known"" href=""/pays/italie"">Italie</a>, <a class=""tag well_known"" href=""/pays/luxembourg"">Luxembourg</a>, <a class=""tag well_known"" href=""/pays/mali"">Mali</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/mexique"">Mexique</a>, <a class=""tag well_known"" href=""/pays/montenegro"">Monténégro</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/pays-bas"">Pays-Bas</a>, <a class=""tag well_known"" href=""/pays/pologne"">Pologne</a>, <a class=""tag well_known"" href=""/pays/portugal"">Portugal</a>, <a class=""tag well_known"" href=""/pays/la-reunion"">La Réunion</a>, <a class=""tag well_known"" href=""/pays/roumanie"">Roumanie</a>, <a class=""tag well_known"" href=""/pays/russie"">Russie</a>, <a class=""tag well_known"" href=""/pays/arabie-saoudite"">Arabie saoudite</a>, <a class=""tag well_known"" href=""/pays/senegal"">Sénégal</a>, <a class=""tag well_known"" href=""/pays/espagne"">Espagne</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>, <a class=""tag well_known"" href=""/pays/tunisie"">Tunisie</a>, <a class=""tag well_known"" href=""/pays/turquie"">Turquie</a>, <a class=""tag well_known"" href=""/pays/ukraine"">Ukraine</a>, <a class=""tag well_known"" href=""/pays/royaume-uni"">Royaume-Uni</a>, <a class=""tag well_known"" href=""/pays/etats-unis"">États-Unis</a>]","Eau gazéifiée, sucre, colorant : E150d, acidifiant : acide phosphorique, arômes naturels (extraits végétaux), dont caféine.",180 kj,83 k,42 kcal,21 kca,0 g,"0,025",0 g,"0,006","10,6 g","5,25",0 g,"0,004",4 - Produits alimentaires et boissons ultra-transformés,XXX,"[<a href=""/additif/e290-dioxyde-de-carbone"">E290 - Dioxyde de carbone</a>, <a href=""/additif/e150d-caramel-au-sulfite-d-ammonium"">E150d - Caramel au sulfite d'ammonium</a>, <a href=""/additif/e338-acide-orthophosphorique"">E338 - Acide orthophosphorique</a>, <a href=""/additif/e338-acide-orthophosphorique"">
<img alt=""Risque élevé de sur-exposition"" height=""45"" src=""https://static.openfoodfacts.org/images/misc/additives-efsa-evaluation-overexposure-risk-icon-high.svg"" width=""45""/>
</a>, <a class=""additives_efsa_evaluation_overexposure_risk_high"" href=""/additif/e338-acide-orthophosphorique"">
Risque élevé de sur-exposition
</a>]",[]
4,Nutella - Ferrero - 1 kg,3017620425035,E,Pâte à tartiner aux noisettes,- 1 kg,"Pot, Verre, Couvercle, Plastique, Carton, Plaque",Nutella,"[<a class=""tag well_known"" href=""/categorie/produits-a-tartiner"">Produits à tartiner</a>, <a class=""tag well_known"" href=""/categorie/petit-dejeuners"">Petit-déjeuners</a>, <a class=""tag well_known"" href=""/categorie/produits-a-tartiner-sucres"">Produits à tartiner sucrés</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner"">Pâtes à tartiner</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-aux-noisettes"">Pâtes à tartiner aux noisettes</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-au-chocolat"">Pâtes à tartiner au chocolat</a>, <a class=""tag well_known"" href=""/categorie/pates-a-tartiner-aux-noisettes-et-au-cacao"">Pâtes à tartiner aux noisettes et au cacao</a>, <a href=""/categorie/pates-a-tartiner-aux-noisettes-et-au-cacao""> (778 produits)</a>, <a href=""/categorie/pates-a-tartiner-aux-noisettes""> (916 produits)</a>, <a href=""/categorie/pates-a-tartiner-au-chocolat""> (1022 produits)</a>, <a href=""/categorie/pates-a-tartiner""> (1781 produits)</a>, <a href=""/categorie/produits-a-tartiner-sucres""> (15325 produits)</a>, <a href=""/categorie/petit-dejeuners""> (20886 produits)</a>, <a href=""/categorie/produits-a-tartiner""> (25808 produits)</a>]","[<a class=""tag well_known"" href=""/label/point-vert"">Point Vert</a>]",[],[],[],"[<a href=""/magasin/auchan"">Auchan</a>]","[<a class=""tag well_known"" href=""/pays/algerie"">Algérie</a>, <a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/allemagne"">Allemagne</a>, <a class=""tag well_known"" href=""/pays/guadeloupe"">Guadeloupe</a>, <a class=""tag well_known"" href=""/pays/italie"">Italie</a>, <a class=""tag well_known"" href=""/pays/luxembourg"">Luxembourg</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/la-reunion"">La Réunion</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>]","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre7,4%, émulsifiants : lécithines [ SOJA ] vanilline",2 252 kj,2 270 k,539 kcal,549 kca,"30,9 g","34,1","10,6 g","7,68","56,3 g","47,7","0,043 g","0,041",4 - Produits alimentaires et boissons ultra-transformés,Eco-score D,"[<a href=""/additif/e322-lecithines"">E322 - Lécithines</a>]","[<a href=""/ingredients-issus-de-l-huile-de-palme/huile-de-palme"">Huile de palme</a>]"
5,"Muesli Raisin, Figue, Abricot - Bjorg - 375 g ℮",3229820129488,A,"Mélange biologique de céréales, de fruits et de graines",75 g ℮,"Sachet, Plastique, Pensez au tri!, Point vert, Sachet plastique à jeter",Bjorg,"[<a class=""tag well_known"" href=""/categorie/aliments-et-boissons-a-base-de-vegetaux"">Aliments et boissons à base de végétaux</a>, <a class=""tag well_known"" href=""/categorie/aliments-d-origine-vegetale"">Aliments d'origine végétale</a>, <a class=""tag well_known"" href=""/categorie/cereales-et-pommes-de-terre"">Céréales et pommes de terre</a>, <a class=""tag well_known"" href=""/categorie/petit-dejeuners"">Petit-déjeuners</a>, <a class=""tag well_known"" href=""/categorie/cereales-et-derives"">Céréales et dérivés</a>, <a class=""tag well_known"" href=""/categorie/cereales-pour-petit-dejeuner"">Céréales pour petit-déjeuner</a>, <a class=""tag well_known"" href=""/categorie/mueslis"">Mueslis</a>, <a class=""tag well_known"" href=""/categorie/cereales-aux-fruits"">Céréales aux fruits</a>, <a class=""tag well_known"" href=""/categorie/mueslis-aux-fruits"">Mueslis aux fruits</a>, <a href=""/categorie/mueslis-aux-fruits""> (541 produits)</a>, <a href=""/categorie/cereales-aux-fruits""> (604 produits)</a>, <a href=""/categorie/mueslis""> (1529 produits)</a>, <a href=""/categorie/cereales-pour-petit-dejeuner""> (4536 produits)</a>, <a href=""/categorie/cereales-et-derives""> (19150 produits)</a>, <a href=""/categorie/petit-dejeuners""> (20886 produits)</a>, <a href=""/categorie/cereales-et-pommes-de-terre""> (29359 produits)</a>, <a href=""/categorie/aliments-d-origine-vegetale""> (88794 produits)</a>, <a href=""/categorie/aliments-et-boissons-a-base-de-vegetaux""> (103135 produits)</a>]","[<a class=""tag well_known"" href=""/label/peu-ou-pas-de-sucre"">Peu ou pas de sucre</a>, <a class=""tag well_known"" href=""/label/bio"">Bio</a>, <a class=""tag well_known"" href=""/label/ecocert"">Ecocert</a>, <a class=""tag well_known"" href=""/label/bio-europeen"">Bio européen</a>, <a class=""tag well_known"" href=""/label/agriculture-non-ue"">Agriculture non UE</a>, <a class=""tag well_known"" href=""/label/de-oko-001"">DE-ÖKO-001</a>, <a class=""tag well_known"" href=""/label/agriculture-ue"">Agriculture UE</a>, <a class=""tag well_known"" href=""/label/agriculture-ue-non-ue"">Agriculture UE/Non UE</a>, <a class=""tag well_known"" href=""/label/riche-en-fibres"">Riche en fibres</a>, <a class=""tag well_known"" href=""/label/fabrique-en-allemagne"">Fabriqué en Allemagne</a>, <a class=""tag well_known"" href=""/label/sans-sucre-ajoute"">Sans sucre ajouté</a>, <a class=""tag well_known"" href=""/label/nutriscore"">Nutriscore</a>, <a class=""tag well_known"" href=""/label/nutriscore-a"">Nutriscore A</a>, <a class=""tag well_known"" href=""/label/ab-agriculture-biologique"">AB Agriculture Biologique</a>, <a class=""tag user_defined"" href=""/label/cereales-completes"">Céréales complètes</a>]","[<a class=""tag well_known"" href=""/categorie/aliments-d-origine-vegetale"">Aliments d'origine végétale</a>, <a class=""tag well_known"" href=""/origine/union-europeenne-et-non-union-europeenne"">Union Européenne et Non Union Européenne</a>, <a href=""/categorie/aliments-d-origine-vegetale""> (88794 produits)</a>]","[<a href=""/lieu-de-fabrication/allemagne"">Allemagne</a>]",[],"[<a href=""/magasin/geant-casino"">Géant Casino</a>, <a href=""/magasin/franprix"">Franprix</a>, <a href=""/magasin/magasins-u"">Magasins U</a>, <a href=""/magasin/carrefour"">Carrefour</a>, <a href=""/magasin/auchan"">Auchan</a>, <a href=""/editeur/magasins-u"">magasins-u</a>]","[<a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/cote-d-ivoire"">Côte d'Ivoire</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/polynesie-francaise"">Polynésie française</a>, <a class=""tag well_known"" href=""/pays/guadeloupe"">Guadeloupe</a>, <a class=""tag well_known"" href=""/pays/italie"">Italie</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/nouvelle-caledonie"">Nouvelle-Calédonie</a>, <a class=""tag well_known"" href=""/pays/la-reunion"">La Réunion</a>, <a class=""tag well_known"" href=""/pays/espagne"">Espagne</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>]","Flocons d'avoine* 44%, flocons d'épeautre* (blé) 15%, raisins* 10%, (raisins*, huile de tounesol*), pétales de maïs*, figues* 9% (farine de riz*), graines* 6% (graines de tournesol*, graines de lin*, graines de courge*), abricots* 4% (farine de riz*), pétales d'épeautre* complet (blé) 3%. Peut contenir des traces de fruits à coque, lait, graines de sésame, soja et sulfites.",1 440 kj,1 700 k,341 kcal,397 kca,"6,3 g","10,6",1 g,"2,71",13 g,18,"0,012 g","0,058",1 - Aliments non transformés ou transformés minimalement,Eco-score B,[],[]
6,Biscuit Sésame - Gerblé - 230 g,3175680011480,C,Biscuits au sésame, 230 g,"Carton, Sachets, 20 biscuits en 4 sachets, Packet,  paquetes",Gerblé,"[<a class=""tag well_known"" href=""/categorie/snacks"">Snacks</a>, <a class=""tag well_known"" href=""/categorie/snacks-sucres"">Snacks sucrés</a>, <a class=""tag well_known"" href=""/categorie/biscuits-et-gateaux"">Biscuits et gâteaux</a>, <a class=""tag well_known"" href=""/categorie/biscuits"">Biscuits</a>, <a href=""/categorie/biscuits""> (10877 produits)</a>, <a href=""/categorie/biscuits-et-gateaux""> (23992 produits)</a>, <a href=""/categorie/snacks-sucres""> (45766 produits)</a>, <a href=""/categorie/snacks""> (54179 produits)</a>]","[<a class=""tag well_known"" href=""/label/fabrique-en-france"">Fabriqué en France</a>, <a class=""tag user_defined"" href=""/label/en:verified"" lang=""en"">en:Verified</a>]","[<a class=""tag well_known"" href=""/origine/france"">France</a>]","[<a href=""/lieu-de-fabrication/france"">France</a>]",[],"[<a href=""/magasin/carrefour-auchan"">carrefour auchan</a>, <a href=""/editeur/magasins-u"">magasins-u</a>]","[<a class=""tag well_known"" href=""/pays/belgique"">Belgique</a>, <a class=""tag well_known"" href=""/pays/france"">France</a>, <a class=""tag well_known"" href=""/pays/guadeloupe"">Guadeloupe</a>, <a class=""tag well_known"" href=""/pays/martinique"">Martinique</a>, <a class=""tag well_known"" href=""/pays/maroc"">Maroc</a>, <a class=""tag well_known"" href=""/pays/la-reunion"">La Réunion</a>, <a class=""tag well_known"" href=""/pays/suisse"">Suisse</a>]","Farine de blé 55,1%, sucre de canne roux, huile de colza 14,3%, sésame toasté 11,6%, germe de blé 5,2%, levain de seigle dévitalisé en poudre, fibres d'avoine, calcium, sel de mer, arôme naturel, magnésium, émulsifiant: lécithines de colza, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), acidifiant acide malique, protéines de lait, amidon de blé, vitamines B1, B6, B9, PP et E (lactose, protéines de lait),",XXX,2 000 k,484 kcal,474 kca,22 g,"20,8","2,2 g","10,1",19 g,"29,5","0,244 g","0,236",4 - Produits alimentaires et boissons ultra-transformés,Eco-score B,"[<a href=""/additif/e322i-lecithine"">E322i - Lécithine</a>, <a href=""/additif/e336-tartrates-de-potassium"">E336 - Tartrates de potassium</a>, <a href=""/additif/e500-carbonates-de-sodium"">E500 - Carbonates de sodium</a>, <a href=""/additif/e503-carbonates-d-ammonium"">E503 - Carbonates d'ammonium</a>, <a href=""/additif/e296-acide-malique"">E296 - Acide malique</a>]",[]
